posted,neighborhood,post title,number bedrooms,sqft,URL,price
2022-03-10 15:46:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.15,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7456549449.html,1425
2022-03-10 14:52:00,"2138 Saunderson Dr, Ottawa",Fully Renovated 2Bed/1.5Bath Basement Apartment - Near Hospital($1900),2.0,100.0,https://ottawa.craigslist.org/apa/d/ottawa-fully-renovated-2bed-15bath/7456521527.html,1900
2022-03-10 14:41:00,2138 Saunderson Dr,Fully Renovated 3Bed/1.5Bath Apartment - Near Hospital ($2300),3.0,1200.0,https://ottawa.craigslist.org/apa/d/ottawa-fully-renovated-3bed-15bath/7456515477.html,2300
2022-03-10 13:58:00,Ottawa,Luxury 1 BDRM+Den+Parking on 36th FL of ICON Apt on Dow’s Lake,1.0,650.0,https://ottawa.craigslist.org/apa/d/ottawa-luxury-bdrmdenparking-on-36th-fl/7456491332.html,2250
2022-03-10 12:58:00,Byward Market,Classy 1 Bedroom Downtown,1.0,850.0,https://ottawa.craigslist.org/apa/d/ottawa-classy-bedroom-downtown/7456456772.html,1700
2022-03-10 09:08:00,Kanata,Townhouse 3 bedrooms,3.0,17000.0,https://ottawa.craigslist.org/apa/d/kanata-townhouse-bedrooms/7456335890.html,2200
2022-03-10 08:52:00,"324 Laurier Ave, Ottawa","Luxury 1Bed/1Bath Condo - Mondrian Tower-324 Laurier Ave-$1,700",1.0,485.0,https://ottawa.craigslist.org/apa/d/ottawa-luxury-1bed-1bath-condo-mondrian/7453073776.html,1700
2022-03-10 08:52:00,354 Gladstone Ave #205,"Luxury 1Bed+Den/2Bath Condo - Gladstone Ave & Bank St ($2,400)",2.0,962.0,https://ottawa.craigslist.org/apa/d/ottawa-luxury-1bedden-2bath-condo/7453350166.html,2400
2022-03-10 08:52:00,101 Richmond Rd #319,"Modern 2Bed/2Bath Condo - Westboro (Richmond Rd) - $2,500",2.0,950.0,https://ottawa.craigslist.org/apa/d/ottawa-modern-2bed-2bath-condo-westboro/7447333177.html,2500
2022-03-10 07:09:00,Downtown,Amazing One Bedroom Apt,1.0,,https://ottawa.craigslist.org/apa/d/ottawa-amazing-one-bedroom-apt/7456304215.html,800
2022-03-09 21:17:00,Ottawa,"2 BED 2 BATH, ROOMMATE WANTED",2.0,1000.0,https://ottawa.craigslist.org/apa/d/ottawa-bed-bath-roommate-wanted/7456229606.html,1195
2022-03-09 18:39:00,,"3BR,1Bath,20 min 2 Algonquin,Britannia Beach,students,April 1,15,May 1",3.0,1200.0,https://ottawa.craigslist.org/apa/d/ottawa-3br1bath20-min/7453065564.html,1995
2022-03-09 13:46:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.15,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7456027932.html,1425
2022-03-09 13:46:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7456027630.html,1350
2022-03-09 07:58:00,Sandy Hill,Sandy Hill - 2 Bedroom Apartment,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-sandy-hill-bedroom-apartment/7452768272.html,1750
2022-03-08 20:08:00,Lowertown,NEWLY RENOVATED ByWard Market 2 Bedroom Apartment (102 St Andrew St),2.0,800.0,https://ottawa.craigslist.org/apa/d/ottawa-newly-renovated-byward-market/7455749463.html,1800
2022-03-08 19:56:00,Sandy Hill,Large Recently Renovated Sandy Hill Bachelor Apartment (257 Daly Ave),,,https://ottawa.craigslist.org/apa/d/ottawa-large-recently-renovated-sandy/7455745342.html,1100
2022-03-08 16:14:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.15,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7455649804.html,1425
2022-03-08 16:13:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7455649505.html,1350
2022-03-08 09:45:00,Ottawa  Sandy-Hill Area,FURNISHED 2 bedroom apt.  INCLUSIVE  in Beautiful Sandy-hill,2.0,950.0,https://ottawa.craigslist.org/apa/d/ottawa-furnished-bedroom-apt-inclusive/7455433049.html,1950
2022-03-08 08:16:00,Sandy Hill - Somerset St East,Sandy Hill - 2 Bedroom (Top Floor) Apartment - Clean & Quiet,2.0,700.0,https://ottawa.craigslist.org/apa/d/ottawa-sandy-hill-bedroom-top-floor/7453187064.html,1850
2022-03-07 19:28:00,Barrhaven,"Entire house for rent - kid friendly neighborhood, newly renovated",3.0,1400.0,https://ottawa.craigslist.org/apa/d/nepean-entire-house-for-rent-kid/7455272843.html,2200
2022-03-07 13:46:00,,Beautiful 2 bedrooms at neapean,1.0,,https://ottawa.craigslist.org/apa/d/nepean-east-beautiful-bedrooms-at/7452435242.html,1500
2022-03-07 09:49:00,"Ottawa, On",900 DYNES - 3 BEDROOM 1 BATHROOM APARTMENT FOR RENT,3.0,1100.0,https://ottawa.craigslist.org/apa/d/nepean-900-dynes-bedroom-bathroom/7454958049.html,2200
2022-03-07 09:19:00,,Golden Equity Properties at 161 Augusta,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-161/7450223474.html,1300
2022-03-07 09:19:00,,Golden Equity Properties at 1425 Rosenthal & 1440 Mayview,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-1425/7450222341.html,1245
2022-03-07 09:19:00,,Golden Equity Properties at 353-355-357-359-370 McArthur,2.0,,https://ottawa.craigslist.org/apa/d/vanier-golden-equity-properties-at/7450221752.html,1250
2022-03-07 09:19:00,,Golden Equity Properties at 1991-1995 St. Laurent,3.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-st/7450221029.html,1400
2022-03-07 09:19:00,,Golden Equity Properties at 1917-1919 St. Laurent,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-st/7450220483.html,1200
2022-03-07 09:19:00,,Golden Equity Properties at 250-254 Cooper,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at/7450219647.html,1195
2022-03-07 09:19:00,,Golden Equity Properties at 229 Argyle,1.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-229/7450219112.html,1100
2022-03-07 09:07:00,Gatineau  Hull,Few min walk to Ottawa  Good location,2.0,1100.0,https://ottawa.craigslist.org/apa/d/hull-southeast-few-min-walk-to-ottawa/7454940427.html,1495
2022-03-07 07:55:00,Ottawa,1 spacious bedrooms apartment,1.0,1100.0,https://ottawa.craigslist.org/apa/d/ottawa-spacious-bedrooms-apartment/7454917932.html,1150
2022-03-06 13:59:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7454663122.html,1350
2022-03-06 13:59:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.15,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7454662851.html,1425
2022-03-06 13:10:00,Ottawa,"New, Gorgeous Open Concept Penthouse Condo Centertown in Central 1",1.0,618.0,https://ottawa.craigslist.org/apa/d/ottawa-new-gorgeous-open-concept/7454637462.html,1950
2022-03-05 16:21:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7454350980.html,1350
2022-03-05 05:33:00,Ontario,This 1 bedroom 1 bathroom home,1.0,1700.0,https://ottawa.craigslist.org/apa/d/nepean-this-bedroom-bathroom-home/7454083195.html,1855
2022-03-04 17:55:00,Sandy Hill,Sandy Hill Basement Bachelor/Studio Apartment (257 Daly Ave),,260.0,https://ottawa.craigslist.org/apa/d/ottawa-sandy-hill-basement-bachelor/7441138429.html,900
2022-03-04 16:15:00,Stittsville,BRAND NEW 2 Bed townhome in Stittsville FOR RENT!,2.0,,https://ottawa.craigslist.org/apa/d/stittsville-brand-new-bed-townhome-in/7452979292.html,1950
2022-03-04 14:15:00,,Beautiful new renovation 2 bedrooms apay,2.0,,https://ottawa.craigslist.org/apa/d/nepean-beautiful-new-renovation/7448343440.html,1500
2022-03-04 12:01:00,Ottawa,4-bed 2.5-bath Double Garage for Rent in Kanata South,4.0,2255.0,https://ottawa.craigslist.org/apa/d/kanata-bed-25-bath-double-garage-for/7453753271.html,2750
2022-03-03 21:02:00,"Stittsville, Ontario","Beautiful townhome for rent - May 1st, 2022",3.0,2098.0,https://ottawa.craigslist.org/apa/d/stittsville-beautiful-townhome-for-rent/7453552818.html,2275
2022-03-03 15:56:00,Downtown,"Furnished, equipped, Laurier at Lyon condo",1.0,,https://ottawa.craigslist.org/apa/d/ottawa-furnished-equipped-laurier-at/7453430904.html,1900
2022-03-03 15:45:00,Carson Meadows,"Montfort Hospital area, 636 Danaca Private for early May",2.0,,https://ottawa.craigslist.org/apa/d/ottawa-montfort-hospital-area-636/7453425421.html,2000
2022-03-03 15:24:00,1660 Baseline Road,All inclusive GIRLS STUDENT HOUSING near Baseline/Woodroffe,1.0,,https://ottawa.craigslist.org/apa/d/nepean-all-inclusive-girls-student/7453415375.html,699
2022-03-03 05:21:00,Ontario,Beautiful 1bedroom 1bathroom,1.0,450.0,https://ottawa.craigslist.org/apa/d/nepean-beautiful-1bedroom-1bathroom/7453171415.html,900
2022-03-03 05:05:00,Ontario,This cozy yet well sized 1 bedroom,1.0,612.0,https://ottawa.craigslist.org/apa/d/ottawa-this-cozy-yet-well-sized-bedroom/7453170445.html,1200
2022-03-02 19:19:00,"268 Citiplace Dr, Ottawa",Modern 3 Level Townhome - 2Bed+Den/1.5Bath - Off Colonnade Rd ($2200),2.0,1400.0,https://ottawa.craigslist.org/apa/d/nepean-modern-level-townhome-2bedden/7441076302.html,2200
2022-03-02 19:19:00,360 Patricia Ave #819,"Luxury 2Bed/2Bath Condo - Westboro (Patricia St) - $2,600",2.0,911.0,https://ottawa.craigslist.org/apa/d/ottawa-luxury-2bed-2bath-condo-westboro/7441499387.html,2600
2022-03-01 18:48:00,"Kanata, Ottawa",3 Bedroom Townhouse with Walk-Out Basement,3.0,1768.0,https://ottawa.craigslist.org/apa/d/kanata-bedroom-townhouse-with-walk-out/7452609294.html,2300
2022-03-01 15:44:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.15,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7452528111.html,1425
2022-03-01 14:03:00,Hull- Gatineau,$1375 21 impasse de breast,2.0,,https://ottawa.craigslist.org/apa/d/hull-north-impasse-de-breast/7452471749.html,1375
2022-03-01 14:00:00,Kanata,New 3 bedroom home for rent from May 1st,3.0,1800.0,https://ottawa.craigslist.org/apa/d/kanata-new-bedroom-home-for-rent-from/7452471767.html,2295
2022-02-28 13:46:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7452018614.html,1350
2022-02-28 12:07:00,2929 Carling Avenue,"1 BEDROOM CLOSE TO BRITANNIA BEACH, BAYSHORE, AND MORE!",1.0,,https://ottawa.craigslist.org/apa/d/ottawa-bedroom-close-to-britannia-beach/7451959987.html,1199
2022-02-28 12:04:00,Centretown,All Inclusive 1 Bed for May 1st  ~ A Must See ~ Great Location,1.0,,https://ottawa.craigslist.org/apa/d/ottawa-all-inclusive-bed-for-may-1st/7451958713.html,1450
2022-02-28 11:57:00,1322 Mcwatters Road,"Bright and Spacious 2 Bedroom - Heat, Water, Hydro Included",2.0,,https://ottawa.craigslist.org/apa/d/ottawa-bright-and-spacious-bedroom-heat/7451953862.html,1600
2022-02-28 11:54:00,Ottawa,Perfect Centretown Location - Bachelor,,,https://ottawa.craigslist.org/apa/d/ottawa-perfect-centretown-location/7451952125.html,1299
2022-02-28 11:52:00,335 Maclaren,All Inclusive 1 Bed for April 1st  ~ A Must See ~ Great Location,1.0,,https://ottawa.craigslist.org/apa/d/ottawa-all-inclusive-bed-for-april-1st/7451950649.html,1450
2022-02-28 11:49:00,360 Frank Street,2 Bed at the Edwardian on Frank St. - Walk to Ottawa U!,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-bed-at-the-edwardian-on-frank-st/7451948698.html,1799
2022-02-28 11:45:00,384 Maclaren Street,BEAUTIFUL DOWNTOWN BACHELOR - MOVE IN MARCH 2022- CALL TODAY!,,,https://ottawa.craigslist.org/apa/d/ottawa-beautiful-downtown-bachelor-move/7451947074.html,1175
2022-02-28 11:43:00,169 Lisgar Street,Luxury Downtown Bachelor! In Suite Laundry Included! March 2022,,,https://ottawa.craigslist.org/apa/d/ottawa-luxury-downtown-bachelor-in/7451945338.html,1475
2022-02-27 19:17:00,Ottawa Downtown,Executive downtown 1 bedroom + den - fully furnished,1.0,700.0,https://ottawa.craigslist.org/apa/d/ottawa-executive-downtown-bedroom-den/7451733816.html,2250
2022-02-27 14:28:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7451619433.html,1350
2022-02-27 13:01:00,11 River Road,ARNPRIOR~~~OPEN HOUSE MONDAY @ 3pm,2.0,900.0,https://ottawa.craigslist.org/apa/d/arnprior-arnprioropen-house-monday-3pm/7449540546.html,1250
2022-02-26 08:45:00,350 Macarthur,Sunny Large Quiet Top Floor 2Bed corner unit,2.0,,https://ottawa.craigslist.org/apa/d/vanier-sunny-large-quiet-top-floor-2bed/7438634161.html,1400
2022-02-25 15:37:00,"130 Besserer St #1801, Ottawa","1Bed/1Bath Condo - The Suites Tower - 130 Besserer St - $1,850",1.0,650.0,https://ottawa.craigslist.org/apa/d/ottawa-1bed-1bath-condo-the-suites/7438300799.html,1850
2022-02-25 13:32:00,Nepean,Banglow with parkings for Rent near Algonquin College,2.0,900.0,https://ottawa.craigslist.org/apa/d/nepean-banglow-with-parkings-for-rent/7450773938.html,1900
2022-02-24 15:17:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.1,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7450399259.html,1425
2022-02-24 10:52:00,Ottawa,Inexpensive Student Housing 4 Bedrooms + 2 Baths,4.0,1350.0,https://ottawa.craigslist.org/apa/d/ottawa-inexpensive-student-housing/7450258245.html,2800
2022-02-23 17:36:00,Gatineau,1 bdrm portage- 10 mins from downtown Ottawa,1.0,,https://ottawa.craigslist.org/apa/d/gatineau-bdrm-portage-10-mins-from/7450036649.html,1200
2022-02-23 16:12:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.1,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7449997797.html,1425
2022-02-23 16:11:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7449997489.html,1350
2022-02-22 15:43:00,Lowertown,$500 off March: King Edward: Heat and water included,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-500-off-march-king-edward-heat/7449534784.html,1650
2022-02-22 15:42:00,Lowertown,"$500 off March Lower town, Heat, water included immediately",2.0,,https://ottawa.craigslist.org/apa/d/ottawa-500-off-march-lower-town-heat/7449534592.html,1500
2022-02-22 15:41:00,Cyrville,All inclusive furnished student housing immediately near Cyrville,1.0,72.0,https://ottawa.craigslist.org/apa/d/gloucester-all-inclusive-furnished/7449534198.html,500
2022-02-22 15:38:00,Sawmill Creek,"Lester near Bank immediately, brand new former model townhome",3.0,2140.0,https://ottawa.craigslist.org/apa/d/gloucester-lester-near-bank-immediately/7449532509.html,2650
2022-02-22 14:09:00,,Studio Furnished as Hotel Suite...,1.0,,https://ottawa.craigslist.org/apa/d/ottawa-studio-furnished-as-hotel-suite/7449480709.html,422
2022-02-22 13:59:00,Ottawa,Spacious sunny townhouse in Ottawa to rent,3.0,1200.0,https://ottawa.craigslist.org/apa/d/ottawa-spacious-sunny-townhouse-in/7449478531.html,2260
2022-02-22 12:28:00,Denholm,Quiet house/cottage for rent,2.0,,https://ottawa.craigslist.org/apa/d/denholm-quiet-house-cottage-for-rent/7449426042.html,1900
2022-02-21 23:49:00,,"Bachelor apt by the river 1 min to downtown Ottawa, 1 bus to OU!",1.0,600.0,https://ottawa.craigslist.org/apa/d/gatineau-bachelor-apt-by-the-river-min/7449252394.html,865
2022-02-20 19:07:00,Ottawa,Beautiful Ottawa downtown Condo for rent,2.0,739.0,https://ottawa.craigslist.org/apa/d/ottawa-beautiful-ottawa-downtown-condo/7448713967.html,2400
2022-02-20 15:37:00,Barrheaven,Ottawa townhouse rental 3 bedroom 2.5 bath,3.0,1800.0,https://ottawa.craigslist.org/apa/d/nepean-ottawa-townhouse-rental-bedroom/7448632884.html,2300
2022-02-20 13:53:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.1,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7448584696.html,1425
2022-02-20 13:52:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7448584371.html,1350
2022-02-18 14:56:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.1,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7447783757.html,1425
2022-02-17 13:41:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE+DISCOUNT-5 APPLINCES-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month/7445252316.html,1350
2022-02-17 13:40:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MAR.1,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7445255273.html,1425
2022-02-16 16:13:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-MARCH 1,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7445629439.html,1425
2022-02-16 16:12:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE+DISCOUNT-5 APPLIANCES-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month/7445626408.html,1350
2022-02-15 14:10:00,Byward Market,GORGEOUS APARTMENT FOR RENT,1.0,738.0,https://ottawa.craigslist.org/apa/d/ottawa-gorgeous-apartment-for-rent/7446412076.html,2100
2022-02-14 09:49:00,,*5-6 BDR- SKEENA AVE- CARLETON UNIVERSITY- HOGS BACK-MAY 1ST,6.0,2500.0,https://ottawa.craigslist.org/apa/d/nepean-6-bdr-skeena-ave-carleton/7445831208.html,3200
2022-02-13 20:10:00,60 Minutes From Ottawa In Douglas On...15 Mins From Renfrew,3 Bedroom Furnished House,3.0,1050.0,https://ottawa.craigslist.org/apa/d/douglas-bedroom-furnished-house/7445707698.html,1900
2022-02-13 16:02:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE+$50 DISCOUNT-5APPLIANCES-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free50/7445628548.html,1450
2022-02-12 15:48:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE + DISCOUNT-5 APPLIANCES-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free/7445254791.html,1450
2022-02-12 12:54:00,Half Moon Bay,Beautiful detached 3 bedroom + 3 washroom house for rent,3.0,1800.0,https://ottawa.craigslist.org/apa/d/nepean-beautiful-detached-bedroom/7445161169.html,2800
2022-02-12 12:34:00,Ottawa,Beautifully renovated 2beds 1 & 1/2 baths,2.0,1082.0,https://ottawa.craigslist.org/apa/d/ottawa-beautifully-renovated-2beds-baths/7445149248.html,1900
2022-02-11 20:00:00,Stittsville,KANATA 4BD 2.5BATH END UNIT,4.0,2000.0,https://ottawa.craigslist.org/apa/d/stittsville-kanata-4bd-25bath-end-unit/7444923231.html,2295
2022-02-11 16:02:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE+$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free50/7444821538.html,1450
2022-02-10 15:21:00,259 Joffre Belanger Way,GREAT PRICE/LOCATION-HEAT/W/D/F/S INCLUDED-PARKING INCL-FEB.15,2.0,,https://ottawa.craigslist.org/apa/d/vanier-great-price-location-heat-d-s/7444353659.html,1425
2022-02-10 15:20:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-$50/MONTH DISCOUNT-5 APPLIANCES-AIR-FEB.15,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-50-month/7444351113.html,1350
2022-02-10 15:18:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-$50/MONTH DISCOUNT-5 APPLIANCES-AIR-FEB.15,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-50-month/7444352195.html,1450
2022-02-10 09:35:00,,Golden Equity Properties at 161 Augusta,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-161/7432708798.html,1300
2022-02-10 09:35:00,,Golden Equity Properties at 1917-1919 St. Laurent,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-st/7432705468.html,1200
2022-02-10 09:35:00,,Golden Equity Properties at 353-355-357-359-370 McArthur,2.0,,https://ottawa.craigslist.org/apa/d/vanier-golden-equity-properties-at/7432706722.html,1250
2022-02-10 09:35:00,,Golden Equity Properties at 1425 Rosenthal & 1440 Mayview,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-1425/7432707610.html,1245
2022-02-10 09:34:00,,Golden Equity Properties at 1991-1995 St. Laurent,3.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at-st/7432706144.html,1400
2022-02-10 09:34:00,,Golden Equity Properties at 250-254 Cooper,2.0,,https://ottawa.craigslist.org/apa/d/ottawa-golden-equity-properties-at/7432704586.html,1195
